"Market Participant ID","Market Participant Name","Pool Member ID"
"GDCR","Solarcrown UK Limited",""
"GDCS","City Energy South Wales Ltd",""
"GDCT","Commercial Tech Services Ltd",""
"GDCU","Corporate Support Solutions",""
"GDCV","Carbon Savings Limited",""
"GDCX","Cenergist Limited",""
"GDCY","City Energy Ltd",""
"GDDC","Deveron Construction Ltd",""
"GDDD","A Deal Greener Ltd",""
"GDDE","Green Deal and Eco Funding Ltd",""
"GDDG","Domestic Green Energy Ltd",""
"GDDH","Domestic & General Heating Ltd",""
"GDDI","Direct Savings (Scotland)",""
"GDDL","Green Deal Direct Ltd",""
"GDDM","Dodd Group (Midlands) Ltd",""
"GDDO","Domestic & General",""
"GDDT","Green Deal Together",""
"GDEA","Green Energy Advisors Ltd",""
"GDEB","Essex Insulation Ltd",""
"GDEC","The Big Green Energy Company",""
"GDED","Eco Deal Ltd",""
"GDEE","Enact Energy Renewables Ltd",""
"GDEF","Effective Energy Solutions Ltd",""
"GDEG","Egnida Limited",""
"GDEH","ECO Home Alternatives Ltd",""
"GDEI","Elite Supplies Ltd",""
"GDEJ","EcoJoules Ltd",""
"GDEK","Efficient Finance (UK) Ltd",""
"GDEL","Energy With Limited",""
"GDEM","Empower Community",""
"GDEN","Enhance Energy Ltd",""
"GDEO","Gdeco Ltd",""
"GDEP","Go-Green Energy (Group) Ltd",""
"GDEQ","Synergy Energy Solutions Ltd",""
"GDER","Encraft",""
"GDES","Green Deal Energy Services UK",""
"GDET","Energy Trust",""
"GDEU","Solar Europa Ltd",""
"GDEV","EvoEnergy Ltd",""
"GDEW","Efficient Warm Energy Limited",""
"GDEX","Green Deal Express",""
"GDEZ","Everwarm Ltd",""
"GDFA","Green Energy Advisors Limited",""
"GDFC","The Green Deal Finance Company",""
"GDFG","1st Green Deal",""
"GDFI","FITGAS Ltd",""
"GDFL","Green Deal First Ltd",""
"GDFO","Les Forshaw (Northern) Ltd",""
"GDFP","Foster Property Maintenance",""
"GDFR","Freedom Renewables Limited",""
"GDFS","GDFC Services Limited",""
"GDFU","Fusion Radiators Ltd",""
"GDFW","Foster Renewable Energies Ltd",""
"GDFY","Friendly Investment Company",""
"GDGA","Green Assess",""
"GDGB","Greenbuy Energy Limited",""
"GDGC","Green Deal Factory",""
"GDGD","GDFC Assets Limited",""
"GDGE","G8 Eco Systems Ltd",""
"GDGF","Green Funding Ltd",""
"GDGG","Grafton Group",""
"GDGH","GHE Solar Ltd",""
"GDGJ","Windows Plus",""
"GDGK","Green Eco Grants Ltd",""
"GDGL","Greendeal-Lynx",""
"GDGM","Central Gas Maintenance Ltd",""
"GDGN","Greenexo Limited",""
"GDGO","Greenoke Energy Ltd",""
"GDGP","SERS Energy Solutions Ltd",""
"GDGR","Gr33n Energy",""
"GDGS","Green Deal Savings Ltd",""
"GDGT","Gentoo Group Ltd",""
"GDGU","Green Energy Solutions UK Ltd",""
"GDGV","Greenvision Energy Ltd",""
"GDGW","Glasgow Green Global Limited",""
"GDGY","Dyson Energy Services Ltd",""
"GDGZ","GZ Energy Solutions",""
"GDHA","Happy Energy",""
"GDHC","Gas Care Heating Services Ltd",""
"GDHE","HELMS Ltd",""
"GDHF","Herbert T Forrest Ltd",""
"GDHG","Green Hut Energy Ltd",""
"GDHI","High Oak Green Investments Ltd",""
"GDHL","Help-Link UK Limited",""
"GDHM","Green Leaf Homes Ltd",""
"GDHO","Housing Action Management Ltd",""
"GDHP","MW Heating & Plumbing Ltd",""
"GDHS","Halltech Electrical Services",""
"GDHU","Home Energy UK",""
"GDHW","Heatwave Energy Funding Ltd",""
"GDIA","Green Deal Initiative Ltd",""
"GDIE","Infinity Energy Org",""
"GDIF","Incentive FM",""
"GDIG","Insta Group",""
"GDII","Ipex Investments",""
"GDIL","A&M Energy Solutions Ltd",""
"GDIM","BTU Installation & Maintenance",""
"GDIN","Infinite Energy UK Ltd",""
"GDIS","Inteb Sustainability Limited",""
"GDIT","Isothane Ltd",""
"GDKF","Kingfisher Future Homes",""
"GDKL","Kernow Loans Ltd",""
"GDKM","Keepmoat Ltd",""
"GDKN","KNW Partnership Limited",""
"GDKS","UKSS Renewable Energy Services",""
"GDLC","Low Carbon Finance Ltd",""
"GDLE","Local Energy",""
"GDLH","STL Heating and Energy Ltd",""
"GDLL","Larkfleet Ltd",""
"GDLO","Liberty Energy Org. Ltd",""
"GDLS","Sustain Ltd",""
"GDLU","Ludu Energy Ltd",""
"GDLX","Lux Carbon Services Ltd",""
"GDMB","Marshall Brown Energy Ltd",""
"GDME","Merseyside Central Heating Ltd",""
"GDMG","Mark Group Limited",""
"GDMO","Move2Green Limited",""
"GDMS","Solarwise-rl",""
"GDMT","MEB Total Ltd",""
"GDND","New Eco Developments Limited",""
"GDNE","Nationwide Energy Consultants",""
"GDNG","Network Green Deal Ltd",""
"GDNH","British Gas Trading Limited",""
"GDNL","1 North Ltd",""
"GDNN","Npower Northern Limited",""
"GDNO","1 North Ltd",""
"GDNP","NEIL_PITTAM_ELECTRICAL_LTD",""
"GDNR","Northern Gas Heating Ltd",""
"GDNW","Nationwide Solar Ltd",""
"GDOB","1 Business Enterprise Ltd",""
"GDOE","Osborne Energy Ltd",""
"GDOG","OUR GENERATION LIMITED",""
"GDOM","OM2 Solutions Ltd",""
"GDON","One Green Place Ltd",""
"GDOP","Opus Green Limited",""
"GDOS","One Stop Energy Ltd",""
"GDPC","PECT Consultancy Limited",""
"GDPE","Physis Energy Ltd",""
"GDPF","Green Deal Provider Funding Ld",""
"GDPL","Complete Plumbing Clean Energy",""
"GDPM","Plumb-Line Contracting Ltd",""
"GDPN","Green Deal Provider Network",""
"GDPO","Polyramek Energy Ltd",""
"GDPP","The Green Provider Limited",""
"GDPR","Premier Energy Solutions Ltd",""
"GDPS","Green Deal Property Services",""
"GDPV","GDProvider Ltd",""
"GDQU","Quodox Energy Ltd",""
"GDRE","ReEnergise Finance Ltd.",""
"GDRG","Rural Green Deal Ltd",""
"GDRI","Renewable Infrastructure Ltd",""
"GDRL","R.I.S. Insulation Ltd",""
"GDRN","Renew Property",""
"GDRP","The Ridgeway Partnership",""
"GDRS","RateSetter",""
"GDRX","Rexel UK Limited",""
"GDSA","Sutton Solar & Renewables Ltd",""
"GDSB","SEHBAC Ltd",""
"GDSC","Scenergy Ltd",""
"GDSD","Energy Save Direct Ltd",""
"GDSE","G2V Solar Energy Solutions Ltd",""
"GDSF","Safeguard Group",""
"GDSH","The Green Deal Shop.com Ltd",""
"GDSI","SIG GDP Company Ltd",""
"GDSJ","Star Building Contractors Ltd",""
"GDSK","Solar City Limited",""
"GDSL","Servicetotal Ltd",""
"GDSN","British Gas New Heating",""
"GDSO","Solas Scotland Ltd",""
"GDSP","SSE Green Deal Provider Ltd",""
"GDSQ","Green Deal Providers Scotland",""
